upasarga_id,upasarga_order,source_forms_slp1,engine_input_slp1,source_code,gana,aupadeshika_slp1,source_artha_slp1,engine_status,output_forms_slp1,output_variant_count
pra,1,pra,pra,01.0252,BvAdi,Dvaji~,gatO,generated,praDvaYj,1
pra,1,pra,pra,01.0253,BvAdi,zalf~,gatO,generated,prasal,1
pra,1,pra,pra,01.0254,BvAdi,kUja~,avyakte Sabde,generated,prakUj,1
pra,1,pra,pra,01.0255,BvAdi,Bfzu~,saNGarze,generated,praBfz,1
pra,1,pra,pra,01.0256,BvAdi,arja~,arjane,generated,praarj,1
pra,1,pra,pra,01.0257,BvAdi,zarja~,arjane,generated,prasarj,1
pra,1,pra,pra,01.0258,BvAdi,garja~,Sabde,generated,pragarj,1
pra,1,pra,pra,01.0259,BvAdi,tarja~,Bartsane,generated,pratarj,1
pra,1,pra,pra,01.0260,BvAdi,karja~,vyaTane,generated,prakarj,1
pra,1,pra,pra,01.0261,BvAdi,Karja~,vyaTane pUjane mArjane ca,generated,praKarj,1
pra,1,pra,pra,01.0262,BvAdi,aja~,gatikzepaRayoH,generated,praaj,1
pra,1,pra,pra,01.0263,BvAdi,teja~,pAlane,generated,pratej,1
pra,1,pra,pra,01.0264,BvAdi,Kaja~,manTe,generated,praKaj,1
pra,1,pra,pra,01.0265,BvAdi,kava~,Sabde,generated,prakav,1
pra,1,pra,pra,01.0266,BvAdi,Kaji~,gativEkalye,generated,praKaYj,1
pra,1,pra,pra,01.0267,BvAdi,ejf~,kampane,generated,prej,1
pra,1,pra,pra,01.0268,BvAdi,wuo~sPUrjA~,vajranirGoze,generated,prasPUrj,1
pra,1,pra,pra,01.0269,BvAdi,kzi\,kzaye,generated,prakzi,1
pra,1,pra,pra,01.0270,BvAdi,kzIja~,avyakte Sabde,generated,prakzIj,1
pra,1,pra,pra,01.0271,BvAdi,laja~,Barjane,generated,pralaj,1
pra,1,pra,pra,01.0272,BvAdi,laji~,Barjane,generated,pralaYj,1
pra,1,pra,pra,01.0273,BvAdi,lAja~,Barjane Bartsane ca,generated,pralAj,1
pra,1,pra,pra,01.0274,BvAdi,lAji~,Barjane Bartsane ca,generated,pralAYj,1
pra,1,pra,pra,01.0275,BvAdi,jaja~,yudDe,generated,prajaj,1
pra,1,pra,pra,01.0276,BvAdi,jaji~,yudDe,generated,prajaYj,1
pra,1,pra,pra,01.0277,BvAdi,tuja~,hiMsAyAm,generated,pratuj,1
pra,1,pra,pra,01.0278,BvAdi,tuji~,pAlane,generated,pratuYj,1
pra,1,pra,pra,01.0279,BvAdi,gaja~,Sabde madane ca,generated,pragaj,1
pra,1,pra,pra,01.0280,BvAdi,gaji~,Sabde,generated,pragaYj,1
pra,1,pra,pra,01.0281,BvAdi,gfja~,Sabde,generated,pragfj,1
pra,1,pra,pra,01.0282,BvAdi,gfji~,garjane,generated,pragfYj,1
pra,1,pra,pra,01.0283,BvAdi,muja~,Sabde,generated,pramuj,1
pra,1,pra,pra,01.0284,BvAdi,muji~,Sabde,generated,pramuYj,1
pra,1,pra,pra,01.0285,BvAdi,vaja~,gatO,generated,pravaj,1
pra,1,pra,pra,01.0286,BvAdi,vraja~,gatO,generated,pravraj,1
pra,1,pra,pra,01.0287,BvAdi,awwa~\,atikramahiMsayoH,generated,praaww,1
pra,1,pra,pra,01.0288,BvAdi,vezwa~\,vezwane,generated,pravezw,1
pra,1,pra,pra,01.0289,BvAdi,cezwa~\,cezwAyAm,generated,pracezw,1
pra,1,pra,pra,01.0290,BvAdi,gozwa~\,saNGAte,generated,pragozw,1
pra,1,pra,pra,01.0291,BvAdi,lozwa~\,saNGAte,generated,pralozw,1
pra,1,pra,pra,01.0292,BvAdi,Gawwa~\,calane,generated,praGaww,1
pra,1,pra,pra,01.0293,BvAdi,sPuwa~\,vikasane,generated,prasPuw,1
pra,1,pra,pra,01.0294,BvAdi,aWi~\,gatO,generated,praaRW,1
pra,1,pra,pra,01.0295,BvAdi,vaWi~\,ekacaryAyAm,generated,pravaRW,1
pra,1,pra,pra,01.0296,BvAdi,maWi~\,Soke,generated,pramaRW,1
pra,1,pra,pra,01.0297,BvAdi,kaWi~\,Soke,generated,prakaRW,1
pra,1,pra,pra,01.0298,BvAdi,muWi~\,pAlane,generated,pramuRW,1
pra,1,pra,pra,01.0299,BvAdi,heWa~\,vibADAyAm,generated,praheW,1
pra,1,pra,pra,01.0300,BvAdi,eWa~\,vibADAyAm,generated,preW,1
pra,1,pra,pra,01.0301,BvAdi,hiqi~\,gatyanAdarayoH,generated,prahiRq,1
pra,1,pra,pra,01.0302,BvAdi,huqi~\,saNGAte,generated,prahuRq,1
pra,1,pra,pra,01.0303,BvAdi,kuqi~\,dAhe,generated,prakuRq,1
pra,1,pra,pra,01.0304,BvAdi,vaqi~\,viBAjane,generated,pravaRq,1
